id,type,identifier,label,classification,linked_to,joint_committees_labs,altlabel_en,preflabel_en,temporal_id,temporal_end_date,temporal_start_date
org/6367,Organization,6367,IMCO,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Internal Market and Consumer Protection,Committee on the Internal Market and Consumer Protection,time-period/20220120-20240715,2024-07-15,2022-01-20
org/14,Organization,14,CONT,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Budgetary Control,Committee on Budgetary Control,time-period/19890726-19920114,1992-01-14,1989-07-26
org/96,Organization,96,ENER,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Research,"Committee on Research, Technological Development and Energy",time-period/19940721-19970115,1997-01-15,1994-07-21
org/5572,Organization,5572,CJ37,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/5088,ENVI,Joint DEVE - ENVI,Joint committee procedure - DEVE and ENVI,time-period/20190702-20220119,2022-01-19,2019-07-02
org/5572,Organization,5572,CJ37,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/5082,DEVE,Joint DEVE - ENVI,Joint committee procedure - DEVE and ENVI,time-period/20190702-20220119,2022-01-19,2019-07-02
org/980,Organization,980,EMPL,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Employment, Social Affairs",Committee on Employment and Social Affairs,time-period/19990720-20020114,2002-01-14,1999-07-20
org/2347,Organization,2347,DEVE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Development,Committee on Development,time-period/20070131-20090713,2009-07-13,2007-01-31
org/3776,Organization,3776,CJ03,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3759,JURI,Joint JURI - LIBE,Procedure with joint meetings - JURI and LIBE,time-period/20120216-20140630,2014-06-30,2012-02-16
org/3776,Organization,3776,CJ03,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3760,LIBE,Joint JURI - LIBE,Procedure with joint meetings - JURI and LIBE,time-period/20120216-20140630,2014-06-30,2012-02-16
org/6370,Organization,6370,FISC,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Tax Matters,Subcommittee on Tax Matters,time-period/20220120-20240715,2024-07-15,2022-01-20
org/106,Organization,106,CONT,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Budgetary Control,Committee on Budgetary Control,time-period/19940721-19970115,1997-01-15,1994-07-21
org/6371,Organization,6371,SEDE,def/ep-entities/COMMITTEE_PARLIAMENTARY_SUB,,,Security and Defence,Subcommittee on Security and Defence,time-period/20220120-20240715,2024-07-15,2022-01-20
org/6181,Organization,6181,ANIT,def/ep-entities/COMMITTEE_PARLIAMENTARY_SPECIAL,,,Protection of Animals during Transport,Committee of Inquiry on the Protection of Animals during Transport,time-period/20200619-20211219,2021-12-19,2020-06-19
org/83,Organization,83,C10,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Transport,Committee on Transport,time-period/19790719-19840723,1984-07-23,1979-07-19
org/PEGA,Organization,PEGA,PEGA,def/ep-entities/COMMITTEE_PARLIAMENTARY_SPECIAL,,,Use of Pegasus and equivalent surveillance spyware,Committee of Inquiry to investigate the use of Pegasus and equivalent surveillance spyware,,,
org/134,Organization,134,FEMM,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Women's Rights,Committee on Women's Rights,time-period/19970116-19990719,1999-07-19,1997-01-16
org/84,Organization,84,C11,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Environment, Health, Consumer Protection","Committee on the Environment, Public Health and Consumer Protection",time-period/19790719-19840723,1984-07-23,1979-07-19
org/5081,Organization,5081,AFET,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Foreign Affairs,Committee on Foreign Affairs,time-period/20190702-20220119,2022-01-19,2019-07-02
org/6583,Organization,6583,PECH,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Fisheries,Committee on Fisheries,time-period/20240716,,2024-07-16
org/5094,Organization,5094,PECH,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Fisheries,Committee on Fisheries,time-period/20190702-20220119,2022-01-19,2019-07-02
org/85,Organization,85,C12,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Youth, Culture, Education, Information and Sport","Committee on Youth, Culture, Education, Information and Sport",time-period/19790719-19840723,1984-07-23,1979-07-19
org/6998,Organization,6998,CJ43,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6574,ENVI,Joint ENVI - LIBE,Joint committee procedure - ENVI and LIBE,time-period/20240716-20250119,2025-01-19,2024-07-16
org/6998,Organization,6998,CJ43,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6586,LIBE,Joint ENVI - LIBE,Joint committee procedure - ENVI and LIBE,time-period/20240716-20250119,2025-01-19,2024-07-16
org/87,Organization,87,C14,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Budgetary Control,Committee on Budgetary Control,time-period/19790719-19840723,1984-07-23,1979-07-19
org/86,Organization,86,C13,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Development and Cooperation,Committee on Development and Cooperation,time-period/19790719-19840723,1984-07-23,1979-07-19
org/7003,Organization,7003,CJ48,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6580,TRAN,Joint TRAN - AGRI,Joint committee procedure - TRAN and AGRI,time-period/20240716,,2024-07-16
org/7003,Organization,7003,CJ48,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6582,AGRI,Joint TRAN - AGRI,Joint committee procedure - TRAN and AGRI,time-period/20240716,,2024-07-16
org/6991,Organization,6991,CJ36,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6570,ECON,Joint ECON - ENVI,Joint committee procedure - ECON and ENVI,time-period/20240716-20250202,2025-02-02,2024-07-16
org/6991,Organization,6991,CJ36,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6574,ENVI,Joint ECON - ENVI,Joint committee procedure - ECON and ENVI,time-period/20240716-20250202,2025-02-02,2024-07-16
org/6564,Organization,6564,INTA,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,International Trade,Committee on International Trade,time-period/20240716,,2024-07-16
org/131,Organization,131,INST,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Institutional Affairs,Committee on Institutional Affairs,time-period/19970116-19990719,1999-07-19,1997-01-16
org/7004,Organization,7004,CJ49,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6564,INTA,Joint INTA - ITRE,Joint committee procedure - INTA and ITRE,time-period/20240716,,2024-07-16
