identifier,label,temporal_id,temporal_start_date,alt_label_en,pref_label_en,alt_label_fr,pref_label_fr
6648,Revival,time-period/20240716,2024-07-16,Revival,Revival,Revival,Revival
6655,AS,time-period/20240716,2024-07-16,Apvienotais saraksts,"Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija",Apvienotais saraksts,"Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija"
6656,DSVL,time-period/20240716,2024-07-16,DSVL,Demokratų sąjunga „Vardan Lietuvos“,DSVL,Demokratų sąjunga „Vardan Lietuvos“
6672,SDP,time-period/20240716,2024-07-16,SDP,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,SDP,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
6673,SFP,time-period/20240716,2024-07-16,SFP,Svenska folkpartiet,SFP,Svenska folkpartiet
6694,GroenLinks,time-period/20240716,2024-07-16,GroenLinks,GroenLinks,GroenLinks,GroenLinks
6695,PvdD,time-period/20240716,2024-07-16,PvdD,Partij voor de Dieren,PvdD,Partij voor de Dieren
6699,SGP,time-period/20240716,2024-07-16,SGP,Staatkundig Gereformeerde Partij,SGP,Staatkundig Gereformeerde Partij
6704,PSL,time-period/20240716,2024-07-16,PSL,Polskie Stronnictwo Ludowe,PSL,Polskie Stronnictwo Ludowe
6712,S,time-period/20240716,2024-07-16,S,Arbetarepartiet- Socialdemokraterna,S,Arbetarepartiet- Socialdemokraterna
6724,DK,time-period/20240716,2024-07-16,DK,Demokratikus Koalíció,DK,Demokratikus Koalíció
6726,KOK,time-period/20240716,2024-07-16,KOK,Kansallinen Kokoomus,KOK,Kansallinen Kokoomus
6727,Europe Écologie,time-period/20240716,2024-07-16,Europe Ecologie,Europe Écologie,Europe Ecologie,Europe Écologie
6733,KKE,time-period/20240716,2024-07-16,KKE,Communist Party of Greece,KKE,Communist Party of Greece
6734,HDZ,time-period/20240716,2024-07-16,HDZ,Hrvatska demokratska zajednica,HDZ,Hrvatska demokratska zajednica
6746,SPÖ,time-period/20240716,2024-07-16,SPÖ,Sozialdemokratische Partei Österreichs,SPÖ,Sozialdemokratische Partei Österreichs
6749,NEOS,time-period/20240716,2024-07-16,NEOS,NEOS – Das Neue Österreich,NEOS,NEOS – Das Neue Österreich
6751,Vlaams Belang,time-period/20240716,2024-07-16,Vlaams Belang,Vlaams Belang,Vlaams Belang,Vlaams Belang
6756,MR,time-period/20240716,2024-07-16,MR,Mouvement Réformateur,MR,Mouvement Réformateur
6761,GERB,time-period/20240716,2024-07-16,GERB,Citizens for European Development of Bulgaria,GERB,Citizens for European Development of Bulgaria
6765,AKEL-ARISTERA-ND,time-period/20240716,2024-07-16,AKEL-ARISTERA-ND,Progressive Party of Working People - Left - New Forces,AKEL-ARISTERA-ND,Progressive Party of Working People - Left - New Forces
6766,DI.KO.,time-period/20240716,2024-07-16,DI.KO.,Democratic Party,DI.KO.,Democratic Party
6777,A,time-period/20240716,2024-07-16,A,Socialdemokratiet,A,Socialdemokratiet
6792,KE,time-period/20240716,2024-07-16,KE,Eesti Keskerakond,KE,Eesti Keskerakond
6797,LSDP,time-period/20240716,2024-07-16,LSDP,Lietuvos socialdemokratų partija,LSDP,Lietuvos socialdemokratų partija
6803,Die PARTEI,time-period/20240716,2024-07-16,Die PARTEI,Die PARTEI,Die PARTEI,Die PARTEI
6819,Ind.,time-period/20240716,2024-07-16,Independente,Independent,Independente,Independent
6821,MoDem,time-period/20240716,2024-07-16,MoDem,Mouvement Démocrate,MoDem,Mouvement Démocrate
6823,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
6826,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
6835,STAN,time-period/20240716,2024-07-16,STAN,Starostové a nezávisli,STAN,Starostové a nezávisli
6836,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
6844,BNG,time-period/20240716,2024-07-16,BNG,Bloque Nacionalista Galego,BNG,Bloque Nacionalista Galego
6849,PP,time-period/20240716,2024-07-16,Isamaa,Isamaa,Isamaa,Isamaa
6862,PIR,time-period/20240716,2024-07-16,PIR,PIRÁTI,PIR,PIRÁTI
6870,L,time-period/20240716,2024-07-16,Lega,Lega,Lega,Lega
6871,VOX,time-period/20240716,2024-07-16,VOX,VOX,VOX,VOX
6872,USR,time-period/20240716,2024-07-16,Uniunea Salvați România,Uniunea Salvați România,Uniunea Salvați România,Uniunea Salvați România
6909,GS,time-period/20240716,2024-07-16,GS,Gibanje Svoboda,GS,GS
6927,Chega,time-period/20240716,2024-07-16,Chega,Chega,Chega,Chega
6932,PP-DB,time-period/20240716,2024-07-16,PP-DB,We continue the change – Democratic Bulgaria,PP-DB,We continue the change – Democratic Bulgaria
6935,Ren,time-period/20240716,2024-07-16,Renaissance,Renaissance,Renaissance,Renaissance
6948,M,time-period/20240716,2024-07-16,MODERATERNE,Moderaterne,MODERATERNE,MODERATERNE
7009,SALF,time-period/20240716,2024-07-16,SALF,Se Acabó la Fiesta,SALF,SE ACABÓ LA FIESTA
7012,Plefsi Eleftherias,time-period/20240716,2024-07-16,Plefsi Eleftherias,Plefsi Eleftherias,Plefsi Eleftherias,Plefsi Eleftherias
7019,Independent,time-period/20240716,2024-07-16,Independent,Independent,Independent,Independent
7026,PdF,time-period/20240716,2024-07-16,PdF,Partei des Fortschritts,PdF,Partei des Fortschritts
6640,AD,time-period/20240716,2024-07-16,AD,Aliança Democrática,AD,Aliança Democrática
6652,LS,time-period/20240716,2024-07-16,LS,Liberalų sąjūdis,LS,Liberalų sąjūdis
6653,LP,time-period/20240716,2024-07-16,LP,Laisvės partija,LP,Laisvės partija
6658,Vesna,time-period/20240716,2024-07-16,Vesna,Vesna – zelena stranka,Vesna,Vesna – zelena stranka
6661,F,time-period/20240716,2024-07-16,F,Socialistisk Folkeparti,F,Socialistisk Folkeparti
6669,ERC,time-period/20240716,2024-07-16,ERC,Esquerra Republicana de Catalunya,ERC,Esquerra Republicana de Catalunya
6676,SVP,time-period/20240716,2024-07-16,SVP,Südtiroler Volkspartei,SVP,Südtiroler Volkspartei
6679,LLRA,time-period/20240716,2024-07-16,LLRA,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,LLRA,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
6682,DP,time-period/20240716,2024-07-16,DP,Parti démocratique,DP,Parti démocratique
6683,CSV,time-period/20240716,2024-07-16,CSV,Parti chrétien social luxembourgeois,CSV,Parti chrétien social luxembourgeois
6685,TB/LNNK,time-period/20240716,2024-07-16,TB/LNNK,"Nacionālā apvienība ""Visu Latvijai!"" - ""Tēvzemei un Brīvībai/LNNK""",TB/LNNK,"Nacionālā apvienība ""Visu Latvijai!"" - ""Tēvzemei un Brīvībai/LNNK"""
6690,PN,time-period/20240716,2024-07-16,PN,Partit Nazzjonalista,PN,Partit Nazzjonalista
6697,CDA,time-period/20240716,2024-07-16,CDA,Christen Democratisch Appèl,CDA,Christen Democratisch Appèl
6719,SDS,time-period/20240716,2024-07-16,SDS,Slovenska demokratska stranka,SDS,Slovenska demokratska stranka
6722,KDH,time-period/20240716,2024-07-16,KDH,Kresťanskodemokratické hnutie,KDH,Kresťanskodemokratické hnutie
6739,Ind.,time-period/20240716,2024-07-16,Ind.,Independent,Ind.,Independent
6748,Die Grünen,time-period/20240716,2024-07-16,Die Grünen,Die Grünen - Die Grüne Alternative,Die Grünen,Die Grünen - Die Grüne Alternative
6752,Open VLD,time-period/20240716,2024-07-16,Open VLD,Open Vlaamse Liberalen en Democraten,Open VLD,Open Vlaamse Liberalen en Democraten
6757,ECOLO,time-period/20240716,2024-07-16,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales
6762,BSP,time-period/20240716,2024-07-16,BSP,Bulgarian Socialist Party,BSP,Bulgarian Socialist Party
6763,DPS,time-period/20240716,2024-07-16,DPS,Movement for Rights and Freedoms,DPS,Movement for Rights and Freedoms
6769,KSČM,time-period/20240716,2024-07-16,KSČM,Komunistická strana Čech a Moravy,KSČM,Komunistická strana Čech a Moravy
6770,KDU-ČSL,time-period/20240716,2024-07-16,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová
6774,FDP,time-period/20240716,2024-07-16,FDP,Freie Demokratische Partei,FDP,Freie Demokratische Partei
6781,EL,time-period/20240716,2024-07-16,Elliniki Lusi-Greek Solution,Elliniki Lusi-Greek Solution,Elliniki Lusi-Greek Solution,Elliniki Lusi-Greek Solution
6783,SDS,time-period/20240716,2024-07-16,Union of Democratic Forces,Union of Democratic Forces,Union of Democratic Forces,Union of Democratic Forces
6793,TOP09/STAN,time-period/20240716,2024-07-16,TOP09/STAN,TOP 09 a Starostové,TOP09/STAN,TOP 09 a Starostové
6804,DSB,time-period/20240716,2024-07-16,DSB,Democrats for Strong Bulgaria,DSB,Democrats for Strong Bulgaria
6811,PODEMOS,time-period/20240716,2024-07-16,PODEMOS,PODEMOS,PODEMOS,PODEMOS
6812,EH BILDU,time-period/20240716,2024-07-16,EH BILDU,EH BILDU,EH BILDU,EH BILDU
6860,PVDA-PTB,time-period/20240716,2024-07-16,PVDA-PTB,PVDA-PTB,PVDA-PTB,PVDA-PTB
6863,Enhedslisten,time-period/20240716,2024-07-16,Enhedslisten,Enhedslisten,Enhedslisten,Enhedslisten
6893,PL2050,time-period/20240716,2024-07-16,Polska 2050,Polska 2050,Polska 2050,Polska 2050
6895,HREP,time-period/20240716,2024-07-16,Hnutie Republika,Hnutie Republika,Hnutie Republika,Hnutie Republika
6902,R,time-period/20240716,2024-07-16,Reconquête!,Reconquête!,Reconquête!,Reconquête!
6903,LesEng,time-period/20240716,2024-07-16,Les Engagés,Les Engagés,Les Engagés,Les Engagés
6919,Hor,time-period/20240716,2024-07-16,Horizons,Horizons,Horizons,Horizons
