country_id,country_iso3c,country_name_en,polgroup_id,political_group,natparty_id,national_party,national_party_long
21,NLD,Netherlands,7018,PPE,6697,CDA,Christen Democratisch Appèl
22,POL,Poland,7018,PPE,6703,PO,Platforma Obywatelska
22,POL,Poland,7018,PPE,6704,PSL,Polskie Stronnictwo Ludowe
23,PRT,Portugal,7018,PPE,6705,PSD,Partido Social Democrata
24,ROU,Romania,7018,PPE,6709,PNL,Partidul Naţional Liberal
24,ROU,Romania,7018,PPE,6711,UDMR,Uniunea Democrată Maghiară din România
27,SWE,Sweden,7018,PPE,6713,M,Moderaterna
27,SWE,Sweden,7018,PPE,6714,KD,Kristdemokraterna
26,SVN,Slovenia,7018,PPE,6719,SDS,Slovenska demokratska stranka
26,SVN,Slovenia,7018,PPE,6720,NSi-KD,Nova Slovenija – Krščanski demokrati
25,SVK,Slovakia,7018,PPE,6722,KDH,Kresťanskodemokratické hnutie
10,FIN,Finland,7018,PPE,6726,KOK,Kansallinen Kokoomus
12,GRC,Greece,7018,PPE,6730,N.D.,Nea Demokratia
13,HRV,Croatia,7018,PPE,6734,HDZ,Hrvatska demokratska zajednica
15,IRL,Ireland,7018,PPE,6742,FG,Fine Gael Party
16,ITA,Italy,7018,PPE,6744,FI,Forza Italia
1,AUT,Austria,7018,PPE,6745,ÖVP,Österreichische Volkspartei
2,BEL,Belgium,7018,PPE,6755,CD&V,Christen-Democratisch & Vlaams
2,BEL,Belgium,7018,PPE,6760,CSP,Christlich Soziale Partei
3,BGR,Bulgaria,7018,PPE,6761,GERB,Citizens for European Development of Bulgaria
4,CYP,Cyprus,7018,PPE,6764,DI.SY.,Democratic Rally
5,CZE,Czechia,7018,PPE,6770,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová
6,DEU,Germany,7018,PPE,6771,CDU,Christlich Demokratische Union Deutschlands
6,DEU,Germany,7018,PPE,6776,CSU,Christlich-Soziale Union in Bayern e.V.
7,DNK,Denmark,7018,PPE,6779,C,Det Konservative Folkeparti
3,BGR,Bulgaria,7018,PPE,6783,SDS,Union of Democratic Forces
5,CZE,Czechia,7018,PPE,6793,TOP09/STAN,TOP 09 a Starostové
6,DEU,Germany,7018,PPE,6799,Familien-Partei DE,Familien-Partei Deutschlands
6,DEU,Germany,7018,PPE,6801,ÖDP,Ökologisch-Demokratische Partei
3,BGR,Bulgaria,7018,PPE,6804,DSB,Democrats for Strong Bulgaria
23,PRT,Portugal,7018,PPE,6819,Ind.,Independent
11,FRA,France,7018,PPE,6827,Les Républicains,Les Républicains
5,CZE,Czechia,7018,PPE,6835,STAN,Starostové a nezávisli
22,POL,Poland,7018,PPE,6836,Independent,Independent
14,HUN,Hungary,7018,PPE,6847,TISZA,Tisztelet és Szabadság Párt
9,EST,Estonia,7018,PPE,6849,PP,Isamaa
21,NLD,Netherlands,7018,PPE,6851,BBB,BoerBurgerBeweging
7,DNK,Denmark,7018,PPE,6852,I,Liberal Alliance
23,PRT,Portugal,7018,PPE,6879,CDS-PP,Partido do Centro Democrático Social-Partido Popular
