pers_id,country_id,polgroup_id,natparty_id
97236,11,7028,6953
97399,21,7018,6639
97968,3,7018,6761
98219,10,7018,6726
98341,3,7018,6761
98582,24,7018,6711
99878,22,7037,6702
99945,6,7018,6771
106936,6,7028,6773
107212,3,7018,6761
110673,23,7018,6879
111412,7,7028,6661
112744,13,7038,6735
112747,13,7038,6735
112748,13,7038,6735
113523,20,7018,6690
118859,20,7018,6690
119435,13,7018,6734
119652,17,7038,6797
122978,8,7038,6667
123562,27,7037,6810
124691,4,7038,6766
124700,9,7035,6792
124701,5,7018,6793
124713,5,7018,6770
124715,14,7150,6818
124722,14,7038,6724
124736,10,7036,6795
124760,11,7037,7876
124766,17,7035,6652
124784,24,7038,5320
124785,24,7038,6708
124795,16,7018,6744
124799,16,7038,6675
124802,24,7018,6709
124806,6,7018,6771
124807,6,7018,6771
124808,6,7018,6771
124813,16,7036,6674
124828,16,7018,6744
124834,6,6561,6803
124836,6,7038,6772
124846,16,7038,6675
124850,3,7018,6761
124858,6,6561,6850
124861,16,7018,6744
124866,3,7035,6763
124867,16,7038,6675
124875,7,7150,6662
124877,22,7037,6702
124884,22,7037,6702
124893,22,7018,
124895,22,7018,6704
124973,2,7150,6751
124984,15,7036,6740
124985,15,7036,6739
125001,1,7150,6747
125012,24,7018,6709
125023,21,7036,6695
125027,8,7018,6666
125042,8,7038,6816
125046,8,7038,6667
125052,8,7150,6871
125065,12,7018,6730
125068,12,7018,6730
125093,12,6561,6733
125104,26,7018,6719
125106,2,7037,6754
125204,8,7018,6666
125325,21,7018,6851
125670,16,7018,6744
126699,11,7150,6848
127766,10,7036,6795
128483,6,7151,6802
129073,9,7035,6664
130100,2,7035,6752
131580,11,7150,6848
135511,11,7035,6935
183916,6,7028,6773
185341,13,7018,6734
185619,6,7038,6772
185771,2,7150,6751
187917,2,7036,6860
188096,9,7018,6849
188945,6,7018,6771
189065,11,7150,6848
190464,1,7028,6748
190517,6,7036,6775
190574,6,7151,6802
190713,1,7018,6745
191693,10,7035,6725
192254,21,7150,6696
193292,18,7028,6684
197391,27,7038,6712
197392,27,7038,6712
197395,27,7028,6717
197398,27,7028,6717
197400,27,7035,6716
197401,27,7035,6715
197402,27,7018,6713
197403,20,7038,6689
197404,27,7018,6713
197405,27,7018,6713
197406,27,7018,6713
197408,6,7018,6771
197410,6,7018,6771
197412,6,7018,6771
197413,13,7018,6734
197414,4,7018,6764
197416,4,7036,6765
197417,13,7018,6734
197421,18,7018,6683
197422,6,7018,6771
197425,6,7018,6771
197426,6,7018,6771
197429,6,7018,6771
197430,6,7035,6807
197432,6,7035,6774
197433,6,7038,6772
197435,6,7038,6772
197439,6,7028,6859
197440,6,7038,6772
197443,6,7035,6774
197444,6,7035,6774
197445,6,7035,6774
197447,26,7035,6909
197448,6,7028,6773
197449,6,7028,6773
197460,6,7028,6773
197461,6,7028,6773
197462,6,7028,6773
197463,2,7035,6756
197464,6,7028,6773
197466,6,7028,6773
197468,6,7036,6775
197469,2,7037,6754
197470,2,7028,6757
197473,6,7018,6776
197475,6,7151,6802
197490,22,7018,6836
197491,9,7038,6665
197492,22,7018,6703
197493,9,7037,6792
197494,11,7035,6919
197497,9,7038,6665
197498,22,7038,6899
197500,11,7028,6953
197501,22,7037,6702
197503,11,7028,6953
197504,11,7035,6935
197514,22,7018,6703
197516,22,7037,6700
197517,22,7018,6704
197523,22,7018,6836
197525,22,7018,6703
197528,5,7150,6794
197529,11,7036,6878
197533,11,7036,6878
197534,11,7018,6827
197537,5,7037,6768
197543,11,7035,7023
197545,22,7037,6702
197549,5,7028,6862
197552,5,7037,6768
197553,22,7037,6702
197556,5,7151,6864
197557,11,7035,6821
197558,7,7035,6663
197572,22,7037,6702
197573,7,7028,6661
197574,11,7036,6878
197577,11,7035,6919
197578,16,7150,6870
197579,14,7038,6724
197580,16,7150,6870
197581,11,7035,6935
197589,11,7035,6821
197591,16,7038,6675
197606,8,7018,6666
197607,16,7037,6831
197618,16,7038,6675
197621,8,7018,6666
197623,11,7150,6848
197624,19,7035,6791
197627,11,7150,6848
197628,11,7150,6848
197636,24,7018,6709
197646,24,7018,6709
197647,24,7018,6709
197648,1,7018,6745
197649,24,7018,6709
197652,1,7018,6745
197653,24,7038,6708
197655,24,7037,6914
197658,24,7038,6708
197662,12,7018,6730
197670,1,7038,6746
197672,24,7035,6710
197677,1,7038,6746
197679,8,7018,6666
197682,1,7038,6746
197684,8,7036,6812
197687,11,7150,6848
197690,11,7150,6848
197691,11,7150,6848
197694,11,7038,6785
197697,11,7038,6785
197699,12,7036,6731
197701,12,7036,6731
197702,8,7038,6667
197711,8,7018,6666
197718,8,7038,6667
197719,8,7038,6667
197721,8,7038,6667
197722,8,7038,6667
197734,12,6561,6733
197738,23,7018,6705
197763,25,7151,6895
197769,25,7035,6874
197770,25,7035,6874
197772,21,7028,7952
197773,21,7037,6699
197778,21,7018,6697
197780,21,7035,6691
197781,21,7035,6691
197782,21,7038,7952
197784,8,7018,6666
197786,16,7150,6870
197794,16,7037,6831
197795,16,7036,6674
197800,10,7038,6672
197802,10,7028,6671
197810,19,7038,6686
197818,15,7035,6741
197820,16,7037,6831
197824,16,7037,6831
197825,16,7150,6870
197829,8,7150,6871
197831,8,7150,6871
197832,8,7028,6669
197839,3,7018,6804
197840,17,7018,6678
197841,17,7018,6678
197842,3,6561,6763
197845,3,7038,6762
197863,15,7018,6742
197870,21,7028,7952
198073,10,7035,6673
198076,10,7028,6671
198084,10,7035,6725
198176,1,7150,6747
198183,24,7038,6708
198373,25,6561,6723
198490,12,7037,6781
199941,7,7038,6777
200345,11,7150,6848
201945,17,7028,6656
202036,13,7018,6734
202073,18,7038,6681
204129,13,7018,6734
204332,15,7035,6741
204333,16,7018,6744
204336,25,7018,6722
204346,22,7037,6702
204400,8,7018,6666
204413,8,7038,6667
204414,8,7150,6871
204418,11,7038,6728
204419,11,7035,6821
204449,9,7018,6849
206158,6,7018,6801
208722,2,7028,6750
210480,23,7038,6706
213330,14,7150,6737
214839,27,7035,6716
218347,21,7038,7952
219652,26,7018,6720
220801,2,7035,6756
220840,5,7150,6794
220871,19,7037,6685
220896,1,7018,6745
220897,1,7150,6747
220908,26,7018,6719
229839,6,7038,6772
230085,16,7038,6675
233862,26,7038,6721
236050,11,7150,6848
236053,11,7036,6878
237465,6,7038,6772
239260,16,7037,6831
244571,12,7038,6876
245018,11,7038,6728
245770,8,7036,6811
247735,8,7038,6667
249603,18,7018,6683
249982,25,7151,6895
251324,22,7018,6703
251874,6,7018,6799
256803,10,7038,6672
256804,10,7018,6726
256805,10,7036,6795
256806,10,7037,6670
256807,17,7035,6653
256808,17,7151,7021
256809,17,7018,6678
256810,10,7018,6726
256811,17,7037,6680
256813,26,7028,6658
256814,26,7018,6719
256815,26,7035,6909
256820,12,7018,6730
256823,12,7036,6731
256824,12,7038,6876
256829,12,7038,6876
256830,1,7038,6746
256831,1,7018,6745
256833,1,7028,6748
256834,1,7150,6747
256839,1,7035,6749
256840,5,7018,6835
256841,1,7035,6749
256842,1,7150,6747
256843,5,7150,6794
256844,5,7150,6794
256845,5,7037,6768
256846,5,7018,6793
256847,5,7018,6835
256851,5,6561,6843
256852,5,7150,7033
256853,5,7150,6794
256855,14,7150,6737
256857,14,7150,6737
256858,12,6561,7011
256859,14,7150,6737
256860,14,7150,6737
256861,14,7018,6847
256862,14,7018,6847
256863,14,7018,6847
256864,14,7018,6847
256865,14,7018,6847
256866,14,7018,6847
256868,14,7018,6847
256869,11,7035,6935
256870,11,7035,7017
256871,11,6561,7023
256872,11,7150,6848
256874,11,7150,6848
256875,11,7150,6848
256876,11,7150,6848
256877,11,7150,6848
256878,11,7150,6848
256879,2,7035,6903
256880,2,7038,6758
256881,2,7150,6751
256882,11,7150,6848
256883,11,7150,6848
256884,2,7037,6754
256885,2,7038,6912
256886,11,7150,6848
256887,2,7018,6755
256888,11,7150,6848
256889,2,7018,6755
256890,2,7036,6950
256891,2,7035,6756
256893,11,7150,6848
256895,11,7150,6848
256896,11,7150,6848
256898,11,7038,6728
256899,11,7038,6728
256900,18,6561,7031
256901,11,7038,6728
256902,11,7038,6728
256903,11,7038,6785
256904,11,7038,6728
256905,11,7038,6728
256906,11,7038,6728
256907,19,7037,6655
256908,11,7038,6728
256909,19,7150,6930
256910,11,7036,6878
256911,11,7036,6878
256912,11,7036,6878
256913,11,7036,6878
256915,11,7028,6953
256916,19,7028,6933
256917,11,7028,6953
256918,11,7018,6827
256919,11,7018,6827
256920,11,7018,6827
256921,11,7018,7921
256922,11,7037,7876
256924,11,7151,6902
256925,11,7037,7876
256926,6,7035,6774
256928,6,7151,6802
256929,6,7151,6802
256934,20,7038,6689
256935,6,7038,6772
256936,20,7038,6689
256937,6,7038,6772
256938,6,7038,6772
256939,6,6561,6850
256941,6,7151,6802
256942,6,7151,6802
256943,12,7018,6730
256944,6,7151,6802
256945,6,7151,6802
256946,6,7035,6807
256947,12,7018,6730
256948,6,7151,6802
256949,6,7151,6802
256950,12,7018,6730
256951,6,7151,6802
256952,12,7036,6731
256954,12,7150,7013
256955,12,6561,7012
256956,12,7037,6781
256957,6,7151,6802
256959,6,7151,6802
256960,6,6561,6803
256961,6,7036,6808
256962,6,7035,6807
256964,6,7028,6859
256965,6,7028,6859
256966,6,6561,6850
256967,6,6561,6850
256968,21,7018,6697
256969,6,6561,6823
256970,21,7035,6693
256971,6,6561,7026
256973,6,7018,6776
256974,6,7018,6771
256976,21,7035,6693
256977,6,7018,6771
256978,21,7028,6638
256979,6,7018,6771
256980,6,7018,6771
256981,21,7150,6696
256983,21,7018,6851
256985,4,7018,6764
256986,4,7037,6924
256987,8,7035,6820
256989,4,6561,7019
256990,21,7028,6638
256992,8,7038,6667
256993,8,7038,6667
256994,8,7038,6667
256995,13,7028,6647
256996,21,7150,6696
256997,8,7038,6667
256998,21,7150,6696
256999,8,7038,6667
257000,13,7037,7872
257001,8,7038,6667
257002,8,7038,6667
257003,21,7035,6691
257005,25,6561,6723
257007,25,6561,6723
257009,8,7036,6811
257010,25,7035,6874
257011,25,7035,6874
257012,8,7036,6949
257013,25,7035,6874
257014,25,7035,6874
257015,8,7028,6949
257016,8,7028,7025
257018,25,6561,7010
257019,8,6561,7009
257020,7,7035,6948
257021,8,7037,6828
257022,8,7037,6828
257023,7,7036,6863
257024,8,7150,6871
257025,7,7037,6637
257026,22,7018,6703
257027,8,7018,6666
257028,7,7018,6852
257029,8,7150,6871
257030,8,7018,6666
257031,22,7018,
257032,22,7018,6703
257033,7,7018,6779
257034,8,7018,6666
257035,8,7018,6666
257037,22,7035,6893
257038,7,7035,6778
257039,8,7018,6666
257040,8,7018,6666
257041,22,7018,6703
257043,8,7018,6666
257044,7,7028,6661
257045,22,7018,6836
257046,22,7018,6703
257047,22,7018,6703
257048,23,7018,6640
257049,22,7018,6703
257050,23,7150,6927
257051,22,7018,6703
257052,22,7037,6702
257053,23,7038,6706
257054,23,7150,6927
257055,22,7037,6702
257056,22,7037,6702
257057,23,7035,6641
257058,22,7037,6702
257059,23,7038,6706
257060,22,7037,6702
257061,23,7035,6641
257062,22,7151,6856
257063,23,7036,6707
257064,22,7150,6856
257065,23,7018,6640
257066,23,7038,6706
257067,22,6561,7029
257068,23,7018,6705
257069,22,7151,6856
257070,22,7151,6856
257071,23,7038,6706
257072,22,7150,6856
257073,22,7037,6702
257075,23,7038,6706
257076,22,7037,6702
257077,22,7037,6702
257078,23,7018,6705
257079,23,7038,6706
257080,22,7037,6702
257081,23,7018,6705
257082,22,7018,6703
257083,23,7036,6817
257084,22,7038,6899
257085,22,7038,6899
257086,22,7037,6702
257087,27,7038,6712
257088,27,7038,6712
257089,27,7018,6714
257090,27,7037,6810
257091,27,7037,6810
257092,27,7036,6718
257093,16,7037,6831
257094,16,7037,6831
257095,16,7037,6831
257096,16,7037,6831
257097,16,7037,6831
257098,24,7038,6708
257099,16,7037,6831
257100,24,7038,6708
257101,16,7038,6675
257102,16,7038,6675
257103,24,7038,6708
257104,16,7037,6831
257106,16,7038,6675
257107,24,7018,6709
257108,16,7038,6675
257109,16,7037,6831
257110,24,7035,6872
257111,16,7038,6675
257112,24,7035,6872
257113,16,7037,6831
257114,24,7037,7962
257115,24,7037,6915
257116,24,7037,6915
257117,24,7037,6915
257118,24,6561,7978
257119,24,7037,7962
257120,24,6561,6645
257121,16,7038,6675
257122,16,7038,6675
257123,16,7038,6675
257124,16,7038,6675
257125,16,7150,6870
257126,16,7036,6674
257127,16,7036,6944
257128,16,7018,6744
257129,16,7036,6944
257130,16,7028,6896
257131,16,7150,6870
257132,16,7028,6826
257133,16,7036,6674
257135,16,7036,6674
257137,16,7018,6744
257138,16,7036,6674
257139,16,7028,6896
257140,16,7036,6674
257143,16,7037,6831
257144,16,7037,6831
257145,16,7037,6831
257147,16,7037,6831
257148,16,7038,6675
257149,16,7037,6831
257150,16,7037,6831
257151,16,7018,6744
257155,16,7036,6674
257160,16,7038,6675
257163,16,7037,6831
257169,16,7038,6675
257170,16,7038,6675
257237,15,7018,6742
257238,15,7038,7022
257255,3,7151,6648
257256,3,6561,6763
257257,3,7035,6932
257258,3,7037,6931
257259,3,7035,6932
257260,3,7151,6648
257261,3,7018,6783
257262,3,7151,6648
257296,15,7018,6742
257297,15,7035,6741
257298,15,7035,6739
257299,15,7036,6740
257300,15,7035,6739
257301,15,7035,6741
257437,21,7028,7952
257438,21,7035,6691
257457,14,7151,6854
257727,16,7038,6675
260035,13,7038,6735
260724,14,7150,6737
261038,5,7150,6794
261796,11,7150,6848
261797,11,7150,6848
262021,22,7018,6703
267485,6,7151,6802
270261,5,7150,6794
270719,6,7036,6775
272024,5,7150,7033
